lr,hidden_sizes,dropout_rate,optimizer,scheduler,weight_decay,batch_size,best_val_loss,best_epoch
0.001,"[128, 64]",0.2,Adam,,0.0001,32,7823.62379663739,3
0.001,"[128, 64]",0.2,Adam,,0.0001,64,7650.973248495297,8
0.001,"[128, 64]",0.2,Adam,,0.001,32,7813.3149114679245,12
0.001,"[128, 64]",0.2,Adam,,0.001,64,7653.052164104236,8
0.001,"[128, 64]",0.2,Adam,CosineAnnealingLR,0.0001,32,7959.539135023865,2
0.001,"[128, 64]",0.2,Adam,CosineAnnealingLR,0.0001,64,7605.634924070872,14
0.001,"[128, 64]",0.2,Adam,CosineAnnealingLR,0.001,32,7743.465184592405,15
0.001,"[128, 64]",0.2,Adam,CosineAnnealingLR,0.001,64,7627.961784527367,8
0.001,"[128, 64]",0.2,Adam,ReduceLROnPlateau,0.0001,32,7829.875694055367,7
0.001,"[128, 64]",0.2,Adam,ReduceLROnPlateau,0.0001,64,7525.270539924566,20
0.001,"[128, 64]",0.2,Adam,ReduceLROnPlateau,0.001,32,7726.4453495326225,7
0.001,"[128, 64]",0.2,Adam,ReduceLROnPlateau,0.001,64,7540.975246913132,21
0.001,"[128, 64]",0.2,AdamW,,0.0001,32,7911.05852628502,2
0.001,"[128, 64]",0.2,AdamW,,0.0001,64,7599.819525448091,16
0.001,"[128, 64]",0.2,AdamW,,0.001,32,7853.860123122205,3
0.001,"[128, 64]",0.2,AdamW,,0.001,64,7573.261394368733,19
0.001,"[128, 64]",0.2,AdamW,CosineAnnealingLR,0.0001,32,7883.29414102813,6
0.001,"[128, 64]",0.2,AdamW,CosineAnnealingLR,0.0001,64,7635.354198910474,11
0.001,"[128, 64]",0.2,AdamW,CosineAnnealingLR,0.001,32,7826.133098010846,7
0.001,"[128, 64]",0.2,AdamW,CosineAnnealingLR,0.001,64,7651.077389683099,9
0.001,"[128, 64]",0.2,AdamW,ReduceLROnPlateau,0.0001,32,7683.325161540488,14
0.001,"[128, 64]",0.2,AdamW,ReduceLROnPlateau,0.0001,64,7544.254159708064,13
0.001,"[128, 64]",0.2,AdamW,ReduceLROnPlateau,0.001,32,7727.22541338208,8
0.001,"[128, 64]",0.2,AdamW,ReduceLROnPlateau,0.001,64,7541.775262730052,18
0.001,"[128, 64]",0.3,Adam,,0.0001,32,7834.054270774313,10
0.001,"[128, 64]",0.3,Adam,,0.0001,64,7743.994265377905,4
0.001,"[128, 64]",0.3,Adam,,0.001,32,7921.639208828261,5
0.001,"[128, 64]",0.3,Adam,,0.001,64,7650.751153801341,11
0.001,"[128, 64]",0.3,Adam,CosineAnnealingLR,0.0001,32,7902.110780164711,6
0.001,"[128, 64]",0.3,Adam,CosineAnnealingLR,0.0001,64,7661.7267057099325,15
0.001,"[128, 64]",0.3,Adam,CosineAnnealingLR,0.001,32,7850.125517251274,7
0.001,"[128, 64]",0.3,Adam,CosineAnnealingLR,0.001,64,7707.961057450916,9
0.001,"[128, 64]",0.3,Adam,ReduceLROnPlateau,0.0001,32,7865.547582453509,10
0.001,"[128, 64]",0.3,Adam,ReduceLROnPlateau,0.0001,64,7549.465537904173,16
0.001,"[128, 64]",0.3,Adam,ReduceLROnPlateau,0.001,32,7748.079903119182,13
0.001,"[128, 64]",0.3,Adam,ReduceLROnPlateau,0.001,64,7568.072068447036,16
0.001,"[128, 64]",0.3,AdamW,,0.0001,32,7924.077445745826,4
0.001,"[128, 64]",0.3,AdamW,,0.0001,64,7719.72526616061,6
0.001,"[128, 64]",0.3,AdamW,,0.001,32,7858.723357933218,6
0.001,"[128, 64]",0.3,AdamW,,0.001,64,7672.601495825471,19
0.001,"[128, 64]",0.3,AdamW,CosineAnnealingLR,0.0001,32,7844.516721394849,6
0.001,"[128, 64]",0.3,AdamW,CosineAnnealingLR,0.0001,64,7729.322019676219,7
0.001,"[128, 64]",0.3,AdamW,CosineAnnealingLR,0.001,32,7923.786354573485,6
0.001,"[128, 64]",0.3,AdamW,CosineAnnealingLR,0.001,64,7710.470730296748,9
0.001,"[128, 64]",0.3,AdamW,ReduceLROnPlateau,0.0001,32,7710.491680465304,13
0.001,"[128, 64]",0.3,AdamW,ReduceLROnPlateau,0.0001,64,7585.411582677839,14
0.001,"[128, 64]",0.3,AdamW,ReduceLROnPlateau,0.001,32,7831.551244236823,5
0.001,"[128, 64]",0.3,AdamW,ReduceLROnPlateau,0.001,64,7581.131496320293,17
0.001,"[64, 32]",0.2,Adam,,0.0001,32,7832.300666338208,4
0.001,"[64, 32]",0.2,Adam,,0.0001,64,7682.604920414246,13
0.001,"[64, 32]",0.2,Adam,,0.001,32,7906.857130791475,4
0.001,"[64, 32]",0.2,Adam,,0.001,64,7733.455267398455,8
0.001,"[64, 32]",0.2,Adam,CosineAnnealingLR,0.0001,32,7874.128665083446,4
0.001,"[64, 32]",0.2,Adam,CosineAnnealingLR,0.0001,64,7704.709961174635,9
0.001,"[64, 32]",0.2,Adam,CosineAnnealingLR,0.001,32,7872.0001956168235,5
0.001,"[64, 32]",0.2,Adam,CosineAnnealingLR,0.001,64,7645.736582669934,11
0.001,"[64, 32]",0.2,Adam,ReduceLROnPlateau,0.0001,32,7766.436012015802,21
0.001,"[64, 32]",0.2,Adam,ReduceLROnPlateau,0.0001,64,7621.347607222287,22
0.001,"[64, 32]",0.2,Adam,ReduceLROnPlateau,0.001,32,7752.089180700067,8
0.001,"[64, 32]",0.2,Adam,ReduceLROnPlateau,0.001,64,7595.877028316637,13
0.001,"[64, 32]",0.2,AdamW,,0.0001,32,7878.8984762320915,7
0.001,"[64, 32]",0.2,AdamW,,0.0001,64,7676.927257456481,9
0.001,"[64, 32]",0.2,AdamW,,0.001,32,8049.671270897939,7
0.001,"[64, 32]",0.2,AdamW,,0.001,64,7717.017632784676,7
0.001,"[64, 32]",0.2,AdamW,CosineAnnealingLR,0.0001,32,7997.408787307699,2
0.001,"[64, 32]",0.2,AdamW,CosineAnnealingLR,0.0001,64,7708.506461263798,10
0.001,"[64, 32]",0.2,AdamW,CosineAnnealingLR,0.001,32,7841.242649716133,24
0.001,"[64, 32]",0.2,AdamW,CosineAnnealingLR,0.001,64,7646.311487709122,13
0.001,"[64, 32]",0.2,AdamW,ReduceLROnPlateau,0.0001,32,7890.728943061296,7
0.001,"[64, 32]",0.2,AdamW,ReduceLROnPlateau,0.0001,64,7577.981546371641,17
0.001,"[64, 32]",0.2,AdamW,ReduceLROnPlateau,0.001,32,7688.290148283046,15
0.001,"[64, 32]",0.2,AdamW,ReduceLROnPlateau,0.001,64,7583.120058654615,26
0.001,"[64, 32]",0.3,Adam,,0.0001,32,7984.557366950523,4
0.001,"[64, 32]",0.3,Adam,,0.0001,64,7758.985515778663,16
0.001,"[64, 32]",0.3,Adam,,0.001,32,8114.337680977674,3
0.001,"[64, 32]",0.3,Adam,,0.001,64,7691.325380831314,21
0.001,"[64, 32]",0.3,Adam,CosineAnnealingLR,0.0001,32,8119.066606925709,3
0.001,"[64, 32]",0.3,Adam,CosineAnnealingLR,0.0001,64,7748.734339548279,11
0.001,"[64, 32]",0.3,Adam,CosineAnnealingLR,0.001,32,8022.081476116369,2
0.001,"[64, 32]",0.3,Adam,CosineAnnealingLR,0.001,64,7746.730815026755,13
0.001,"[64, 32]",0.3,Adam,ReduceLROnPlateau,0.0001,32,8035.490942954902,2
0.001,"[64, 32]",0.3,Adam,ReduceLROnPlateau,0.0001,64,7618.571120182676,23
0.001,"[64, 32]",0.3,Adam,ReduceLROnPlateau,0.001,32,7842.701135395693,11
0.001,"[64, 32]",0.3,Adam,ReduceLROnPlateau,0.001,64,7661.012630574575,15
0.001,"[64, 32]",0.3,AdamW,,0.0001,32,7873.414210195741,10
0.001,"[64, 32]",0.3,AdamW,,0.0001,64,7769.104894447936,9
0.001,"[64, 32]",0.3,AdamW,,0.001,32,7880.728733512776,19
0.001,"[64, 32]",0.3,AdamW,,0.001,64,7821.246527450619,8
0.001,"[64, 32]",0.3,AdamW,CosineAnnealingLR,0.0001,32,7951.93557904635,4
0.001,"[64, 32]",0.3,AdamW,CosineAnnealingLR,0.0001,64,7756.959083102311,4
0.001,"[64, 32]",0.3,AdamW,CosineAnnealingLR,0.001,32,8060.540990864127,3
0.001,"[64, 32]",0.3,AdamW,CosineAnnealingLR,0.001,64,7627.818102122772,27
0.001,"[64, 32]",0.3,AdamW,ReduceLROnPlateau,0.0001,32,7837.2692219070605,18
0.001,"[64, 32]",0.3,AdamW,ReduceLROnPlateau,0.0001,64,7679.280849676168,25
0.001,"[64, 32]",0.3,AdamW,ReduceLROnPlateau,0.001,32,7930.678566324517,11
0.001,"[64, 32]",0.3,AdamW,ReduceLROnPlateau,0.001,64,7672.160527880466,13
0.0005,"[128, 64]",0.2,Adam,,0.0001,32,7746.518455525441,4
0.0005,"[128, 64]",0.2,Adam,,0.0001,64,7569.326685134497,12
0.0005,"[128, 64]",0.2,Adam,,0.001,32,7746.072710214079,15
0.0005,"[128, 64]",0.2,Adam,,0.001,64,7625.656917654309,9
